Aishe Code,University Name,State,District,Web Url,University Type,Year Of Establishment,Location,Address
U-0976,Central University Of Andhra Pradesh,Andhra Pradesh,Ananthapuramu,https://cuap.ac.in,Central University,2018,Rural,"Central University of Andhra Pradesh, JNTU Incubation Centre, JNTU Road, Chinmaya Nagar"
U-0020,"Koneru Lakshmaiah Education Foundation,Guntur",Andhra Pradesh,Guntur,www.kluniversity.in,Deemed University-Private,1980,Rural,"GREEN FIELDS, , VADDESWARAM VILLAGE"
U-0827,"Indian Institute Of Science Education & Research (Iiser), Tirupati",Andhra Pradesh,Chittoor,www.iisertirupati.ac.in,Institute of National Importance,2015,Rural,"C/o Sri Rama Engineering College, Karakambadi Road, Renigunta, Tirupati"
U-0021,"Krishna University, Machhlipattanam",Andhra Pradesh,Krishna,www.kru.ac.in,State Public University,2008,Rural,"Rudravaram, , MACHILIPATNAM"
U-0855,"National Institute Of Technology, Andhra Pradesh",Andhra Pradesh,West Godavari,www.nitandhra.ac.in,Institute of National Importance,2015,Urban,"Near National Highway No.16, kondrupolu, TADEPALLIGUDEM"
U-0004,"Acharya Ng Ranga Agricultural University, Guntur",Andhra Pradesh,Guntur,www.angrau.ac.in,State Public University,1964,Rural,"Administrative Office, Lam, Guntur-522034, Guntur"
U-0945,Vellore Institute Of Technology - Andhra Pradesh,Andhra Pradesh,Guntur,www.vitap.ac.in,State Private University,2017,Rural,"BESIDE AP GOVERNMENT SECRETARIAT, INAVOLU, AMARAVATI"
U-0844,"Indian Institute Of Technology, Tirupati",Andhra Pradesh,Chittoor,http://iittp.ac.in,Institute of National Importance,2015,Rural,"Yerpedu - Venkatagiri Road, Yerpedu Post, Tirupati"
U-0003,"Acharya Nagarjuna University, Guntur",Andhra Pradesh,Guntur,www.anu.ac.in,State Public University,1976,Rural,"Nagarjunanagar-522510, Guntur, Guntur"
U-0002,Damodaram Sanjivayya National Law University,Andhra Pradesh,Visakhapatnam,https://dsnlu.ac.in,State Public University,2008,Urban,"Nyayaprastha, Sabbavaram, VISAKHAPATNAM"
U-0944,Indian Institute Of Petroleum & Energy,Andhra Pradesh,Visakhapatnam,www.iipe.ac.in,Institute of National Importance,2016,Urban,"MAIN BUILDING, IInd FLOOR, AU COLLEGE OF ENGINEERING(A), ANDHRA UNIVERSITY, VISAKHAPATNAM"
U-1310,The Apollo University,Andhra Pradesh,Chittoor,https://apollouniversity.edu.in/,State Private University,2021,Urban,"The Apollo Knowledge City Campus, Saketa, Murukambattu"
U-0001,Dr Y S R Horticulture University,Andhra Pradesh,West Godavari,https://drysrhu.ap.gov.in,State Public University,2007,Rural,"P.O.Box no.7, Venkataramannagdem, Tadepalligudem"
U-0036,"Sri Venkateswara Institute Of Medical Sciences, Tirupathi",Andhra Pradesh,Chittoor,https://svimstpt.ap.nic.in,Institute under State Legislature Act,1993,Urban,"Alipiri Road, Director-cum-Vice Chancellor, SVIMS, Tirupati, Tirupati"
U-0035,Sri Sathya Sai Institute Of Higher Learning,Andhra Pradesh,Sri Sathya Sai,www.sssihl.edu.in,Deemed University-Private,1981,Urban,"Vidyagiri, 5R77+32M Prasanthi Nilayam, Puttaparthi, Andhra Pradesh 515134"
U-0034,"Sri Padmavathi Mahila Visva Vidyalayam, Tirupathi",Andhra Pradesh,Chittoor,www.spmvv.ac.in,State Public University,1983,Urban,"TIRUPATI, Sri Padmavati Mahila Visvavidyalayam, Padmavathi Nagar, Near West Railway Station, Tirupati, Chittoor (D.t), Andhra Pradesh, INDIA., TIRUPATI"
U-0998,Dr. Abdul Haq Urdu University,Andhra Pradesh,Kurnool,www.ahuuk.ac.in,State Public University,2016,Urban,"5-2, K.C.Building, Opp. Montessori Indus School, Gooty Road, Kurnool, Kurnool"
U-0033,"Sri Krishnadevaraya University, Anantapur",Andhra Pradesh,Ananthapuramu,www.skuniversity.ac.in,State Public University,1967,Rural,"Sri Venakteswara Puram, Sri Venkateswara Puram, Anantapur - 515003"
U-0031,"Rayalaseema, University Kurnool",Andhra Pradesh,Kurnool,www.ruk.ac.in,State Public University,1977,Rural,Nandyal Road
U-0030,"National Sanskrit University , Tirupati",Andhra Pradesh,Chittoor,nsktu.ac.in,Central University,1961,Urban,"Central University, Near Balaji Colony, Tirupati"
U-0038,"Sri Venkateswara Vedic University, Tirpupathi",Andhra Pradesh,Chittoor,www.svvedicuniversity.ac.in,State Public University,2006,Urban,"Alipiri-Chandragiri Bypass Road, Tirupati"
U-1282,Andhra Kesari University,Andhra Pradesh,Prakasam,https://akuprakasam.ac.in/,State Public University,2022,Urban,"Colony, behind Mini Stadium, Ramnagar, Pelluru, Ongole, Andhra Pradesh 523001"
U-1007,Indian Institute Of Management Visakhapatnam,Andhra Pradesh,Visakhapatnam,www.iimv.ac.in,Institute of National Importance,2015,Urban,"Andhra Bank School of Business Building, Andhra University Campus, Visakhapatnam"
U-1308,The Global University,Arunachal Pradesh,Papum Pare,https://www.tgu.ac.in/,State Private University,2017,Urban,"3JM4+Q49 Model, Naharlagun, Itanagar, Arunachal Pradesh 791110"
U-0045,"Yogi Vemana University, Kadapa",Andhra Pradesh,Y.S.R.,www.yogivemanauniversity.ac.in,State Public University,2006,Rural,"Vemanapuram, Kadapa-516 003, Vemanapuram, Kadapa-516 003, Kadapa"
U-0934,"Srm University-Ap, Amaravati",Andhra Pradesh,Guntur,www.srmap.edu.in,State Private University,2017,Rural,"SRM University, AP - Andhra Pradesh, Neerukonda Post, Mangalagiri Mandal, Guntur District, Andhra Pradesh - 522240, Guntur"
U-0044,"Vikram Simhapuri University, Nellore",Andhra Pradesh,Sri Potti Sriramulu Nellore,www.vsu.ac.in,State Public University,2008,Rural,"Kakutur, Venkatachalam Mandal, Nellore"
U-0043,"Vignan's Foundation Of Science, Technology & Research, Guntur",Andhra Pradesh,Guntur,www.vignan.ac.in,Deemed University-Private,1997,Rural,"Vadlamudi Village, Chebrolu Mandal, Guntur"
U-0632,Rajiv Gandhi University Of Knowledge Technologies,Andhra Pradesh,Y.S.R.,www.rgukt.in,State Public University,2008,Rural,"RK Valley, Idupulapaya, Vempalli (Mandal), KADAPA"
U-0627,School Of Planning & Architecture Vijaywada,Andhra Pradesh,Krishna,spav.ac.in,Institute of National Importance,2008,Urban,"Survey No.4/4,, ITI Road, Vijayawada"
U-0760,"Indian Institute Of Information Technology, Sri City",Andhra Pradesh,Tirupati,www.iiits.ac.in,Institute of National Importance,2013,Rural,"630, Gnan Marg, Sri City, Sathyavedu, Andhra Pradesh 517646"
U-0039,"Sri Venkateswara Veterinary University, Tirupathi",Andhra Pradesh,Chittoor,www.svvu.edu.in,State Public University,2005,Urban,"Admn.Office: Dr YSR Bhavan, Tirupati, Tirupati"
U-0015,"Jawaharlal Nehru Technological University, Kakinada",Andhra Pradesh,East Godavari,www.jntuk.edu.in,State Public University,2008,Urban,"Pitapuram Road, KAKINADA"
U-1111,Krea University,Andhra Pradesh,Chittoor,krea.edu.in,State Private University,2018,Rural,"5655 Central Expressway, Sricity,"
U-0957,Centurion University Of Technology And Management,Andhra Pradesh,Vizianagaram,www.cutmap.ac.in,State Private University,2017,Rural,"Tekkali Village,, Nelimarla Mandal, Vizianagaram"
U-1132,Bhartiya Engineering Science And Technology Innovation University,Andhra Pradesh,Ananthapuramu,bestiu.edu.in,State Private University,2018,Rural,"BEST Innovation University, Gownivaripalli, Gorantla Mandal"
U-1177,Dr Ysr Architecture And Fine Arts University,Andhra Pradesh,Y.S.R.,www.ysrafu.ac.in,State Public University,2020,Rural,"Satellite city , , Rayalapanthulla palle ,Chennur Mandal"
U-1189,Cluster University,Andhra Pradesh,Kurnool,www.cuklap.ac.in,State Public University,2020,Urban,"CLUSTER UNIVERSITY KURNOOL, B-CAMP, KURNOOL"
U-0961,"All India Institute Of Medical Sciences, Mangalagiri",Andhra Pradesh,Guntur,aiimsmangalagiri.edu.in,Institute of National Importance,2018,Urban,"AIIMS Mangalagiri, Old TB Sanitorium road, , Mangalagiri"
U-0011,"Gandhi Institute Of Technology & Management (Gitam) University, Visakhapatnam",Andhra Pradesh,Visakhapatnam,https://www.gitam.edu/,Deemed University-Private,1980,Rural,"Gandhinagar Campus, Rushikonda, VISAKHAPATNAM"
U-0010,"Dravidian University, Kuppam, Chittoor District",Andhra Pradesh,Chittoor,www.dravidianuniversity.ac.in,State Public University,1997,Rural,"DRAVIDIAN UNIVERSITY, SRINIVASAVANAM, KUPPAM, Kuppam"
U-1192,National Institute Of Design Andhra Pradesh,Andhra Pradesh,Guntur,www.nid.ac.in,Institute of National Importance,2015,Rural,"National Institute of Design Andhra Pradesh, Transit campus, EEE Building Ground Floor, Acharya Nagarjuna University, Nagarjuna Nagar, Namburu"
U-1223,Jawaharlal Nehru Technological University Gurajada Vizianagaram,Andhra Pradesh,Vizianagaram,https://jntugv.edu.in,State Public University,2022,Urban,"Vizianagaram, Dwarapudi (post), Vizianagaram – 535 003, Andhra Pradesh, India."
U-0009,"Dr.B.R.Ambedkar University, Etcherla",Andhra Pradesh,Srikakulam,www.brau.edu.in,State Public University,1972,Rural,"Etcherla, Srikakualam, Srikakulam"
U-0008,"Dr. N.T.R. University Of Health Sciences, Vijaywada",Andhra Pradesh,Krishna,http://ntruhs.ap.nic.in,State Public University,1986,Urban,"Ring Road, Gunadala, Vijayawada"
U-0006,"Andhra University, Visakhapatnam",Andhra Pradesh,Visakhapatnam,www.andhrauniversity.edu.in,State Public University,1926,Urban,"Andhra University , Waltair Junction, Phone : 0891 2844000 | 2844197, VISAKHAPATNAM"
U-1226,Central Tribal University,Andhra Pradesh,Vizianagaram,www.ctuap.ac.in,Central University,2019,Rural,"CTUAP, Kondakarakam, Vizianagaram"
U-1240,Andhra Pradesh Fisheries University,Andhra Pradesh,West Godavari,apfu.ap.gov.in,State Public University,2020,Rural,"Camp Office, 5th Floor, Vishal Residency, Opp. Siddhartha Engineering. College, Padmaja Nagar, Tadigadapa, Vijayawada – 521 134, A.P."
U-1284,Mohan Babu University,Andhra Pradesh,Tirupati,https://www.mbu.asia/,State Private University,2022,Rural,"Sree Vidyanikethan Sree Sainath Nagar, Tirupati, Andhra Pradesh 517102"
U-0005,"Adikavi Nannaya University, Rajahmundry, East Godawari",Andhra Pradesh,East Godavari,www.aknu.edu.in,State Public University,2006,Rural,"Raja Raja Narendra Nagar, Rajanagaram (Mandal), Rajamahendravaram"
U-0863,"Indian Institute Of Information Technology Design And Manufacturing, Kurnool",Andhra Pradesh,Kurnool,www.iiitk.ac.in,Institute of National Importance,2015,Rural,"IIITDM Kurnool, Jagannathagattu , Kurnool"
U-0016,"Jawaharlal Nehru Technological University, Anantapur",Andhra Pradesh,Ananthapuramu,www.jntua.ac.in,State Public University,2008,Rural,"Sir Mokshagundam Visheswaraiah Road, JNTUA College of Engineering Road, Ananthapuramu"
U-0037,"Sri Venkateswara University, Tirupathy",Andhra Pradesh,Chittoor,www.svuniversity.edu.in,State Public University,1954,Urban,"Sri Venkateswara University, Tirupati, Tirupati"
U-1261,Arunachal Pradesh University,Arunachal Pradesh,East Siang,https://apupsg.ac.in/,State Public University,2022,-,"Arunachal Pradesh University, Pasighat, Arunachal Pradesh 791102"
U-0712,Apex Professional University,Arunachal Pradesh,East Siang,www.apexuniversity.edu.in,State Private University,2013,Urban,"NH-515 Pasighat, Pasighat, NH-52 Pasighat, Pasighat, PASIGHAT"
U-0047,"Rajiv Gandhi University, Itanagar",Arunachal Pradesh,Papum Pare,www.rgu.ac.in,Central University,1984,Rural,"Rono Hills,Doimukh, Itanagar, Itanagar"
U-0046,"North Eastern Regional Institute Of Science & Technology, Papum Pare, Itanagar",Arunachal Pradesh,Papum Pare,www.nerist.ac.in,Deemed University-Government,1983,Rural,"PO-Nirjuli , Dist: Papum Pare, Nirjuli, Itanagar"
U-0615,National Institute Of Technology Arunachal Pradesh,Arunachal Pradesh,Papum Pare,www.nitap.ac.in,Institute of National Importance,2010,Rural,"Yupia, District Papum Pare,, Arunachal Pradesh 791113, Itanagar"
U-0767,Venkateshwara Open University,Arunachal Pradesh,Papum Pare,www.vou.ac.in,State Private Open University,2012,Rural,"Lekhi Village, Naharlagun"
U-1313,Pragjyotishpur University,Assam,Kamrup Metro,https://pju.edu.in/,State Private University,2022,-,"Panipath, Geetanagar, Guwahati, Kamrup (M), Assam 781020"
U-0740,Arunachal University Of Studies,Arunachal Pradesh,Lohit,www.arunachaluniversity.ac.in,State Private University,2012,Rural,"Knowledge City, NH-52, Namsai, Distt - Namsai"
U-0777,North East Frontier Technical University,Arunachal Pradesh,West Siang,www.neftu.edu.in,State Private University,2014,Rural,"Aalo, Aalo(P.O), Aalo"
U-0947,Arunodaya University,Arunachal Pradesh,Papum Pare,www.arunodayauniversity.ac.in,State Private University,2014,Urban,"LEKHI VILLAGE, NAHARLAGUN, ITANAGAR"
U-0719,"Himalayan University, Itanagar",Arunachal Pradesh,Papum Pare,www.himalayanuniversity.com,State Private University,2013,Rural,"Jollang Village, near Central Jail, Itanagar"
U-0743,"Indira Gandhi Technological And Medical Sciences University, Ziro",Arunachal Pradesh,Lower Subansiri,www.igtamsu.ac.in,State Private University,2012,Urban,"INDIRA GANDHI TECHNOLOGICAL AND MEDICAL SCIENCES UNIVERSITY, QUARRY LINE NEAR BLUE PINE HOTEL ZIRO, HAPOLI"
U-0812,Mahapurusha Srimanta Sankaradeva Viswavidyalaya,Assam,Nagaon,www.mssv.ac.in,State Private University,2014,Rural,"Haldhar Bhuyan Path, Kolongpar, Nagaon, Haldhar Bhuyan Path, Kolongpar, Nagaon, Nagaon"
U-0054,"Krishna Kanta Handiqui State Open University, Guwahati",Assam,Kamrup Metro,http://www.kkhsou.in,State Open University,2006,Urban,"NH37, Resham Nagar, , Khanapara, Guwahati - 781022"
U-0055,"National Institute Of Technology, Silchar",Assam,Cachar,www.nits.ac.in,Institute of National Importance,1967,Rural,"National Institute of Technology, Silchar, N IT, Silchar-10, Silchar - 788 010"
U-0056,"Tezpur University, Tezpur",Assam,Sonitpur,www.tezu.ernet.in,Central University,1994,Rural,"Napaam, Tezpur,, Assam, Pin-784028, Tezpur"
U-1068,Madhabdev University,Assam,Lakhimpur,madhabdevuniversity.ac.in,State Public University,2019,Rural,"Narayanpur, PO-Dikrong, Lakhimpur, Assam,"
U-1067,Central Institute Of Technology,Assam,Kokrajhar,www.cit.ac.in,Deemed University-Government,2006,Rural,"Balagaon, Kokrajhar, BTR, Kokrajhar"
U-0795,"Indian Institute Of Information Technology, Guwahati",Assam,Kamrup Metro,www.iiitg.ac.in,Institute of National Importance,2013,Urban,"NH - 37, BONGORA, , GUWAHATI"
U-0053,"Indian Institute Of Technology, Guwahati",Assam,Kamrup,www.iitg.ac.in,Institute of National Importance,1994,Urban,"Indian Institute of Technology Guwahati, Guwahati - 781039, Guwahati"
U-0815,Assam Women��S University,Assam,Jorhat,www.awu.ac.in,State Public University,2014,Rural,"Jamuguri, Rowriah, Assam 785004"
U-1043,"Bhattadev University, Bajali",Assam,Barpeta,www.bhattadevuniversity.ac.in,State Public University,1955,Urban,"P.O.- Pathsala, Pathsala"
U-1045,"National Institute Of Design, Assam",Assam,Jorhat,www.nidj.ac.in,Institute of National Importance,2015,Urban,"Vill. - Tocklai, Rajabari, Jorhat"
U-0980,Krishnaguru Adhyatmik Visvavidyalaya,Assam,Barpeta,www.kav.org.in,State Private University,2017,Rural,"KRISHNAGURU ADHYATMIK VISVAVIDYALAYA, NASATRA, P.O. Sarthebari, Dist. Barpeta, Assam, Pin-781307, Nasatra Barpeta"
U-1316,National Institute Of Pharmaceutical Education And Research Guwahati,Assam,Kamrup,https://niperguwahati.ac.in/,Institute of National Importance,2008,Rural,"Sila Katamur (Halugurisuk) P.O : Changsari, Dist: Kamrup,Assam, India, Pin: 781101"
U-1345,Auniati University,Assam,Jorhat,https://auniv.ac.in/,State Private University,2022,Urban,"Near Sri Sri Auniati Sakha Satra Koliapani, Teok, Post Office Koliapani-785112, Assam"
U-0894,"The Assam Royal Global University, Guwahati, District- Kamrup (Metro)",Assam,Kamrup Metro,www.rgu.ac,State Private University,2009,Urban,"NH-37, opp. Tirupati Balaji Temple, Betkuchi, Guwahati, Assam 781035"
U-1249,Girijananda Chowdhury University,Assam,Kamrup,https://gcuniversity.ac.in/,State Private University,2022,Urban,"Azara, Hathkhowapara, Guwahati, Assam 781017"
U-1247,Birangana Sati Sadhani Rajyik Vishwavidyalaya,Assam,Golaghat,https://bssrv.ac.in/,State Public University,2021,-,"HX48+QF3, Narakanwar, Assam 785621"
U-1291,Bihar Engineering University,Bihar,Patna,http://beu-bih.ac.in/,State Public University,2021,Urban,"Mithapur Farm Area, Mithapur, Patna, Bihar 800001"
U-1231,Sri Sri Aniruddhadeva Sports University,Assam,Dibrugarh,www.sasu.ac.in,State Public University,2020,Rural,"Balijan Paniera Gaon, , Chabua"
U-1194,Majuli University Of Culture,Assam,Majuli,https://muoc.ac.in/,State Public University,2018,Rural,"Chitadarchuk, Garamur, Chitadachuk, Garamur, Majuli"
U-1147,Rabindranath Tagore University,Assam,Nagaon,rtuassam.ac.in,State Public University,2019,Rural,"College Road, Hojai, , Hojai"
U-1107,"All India Institute Of Medical Sciences, Guwahati",Assam,Kamrup,https://aiimsguwahati.ac.in,Institute of National Importance,2020,Rural,"Silbharal Changsari, Guwahati, Assam 781101"
U-0669,"Srimanta Sankaradeva University Of Health Sciences, Guwahati",Assam,Kamrup Metro,www.ssuhs.in,State Public University,2009,Urban,"Narakasur Hilltop, Bhangagarh, Guwahati"
U-0673,Assam Science And Technology University,Assam,Kamrup Metro,www.astu.ac.in,State Public University,2010,Urban,"Tetelia Road, Jalukbari, Guwahati"
U-0674,Bodoland University,Assam,Kokrajhar,buniv.edu.in,State Public University,2009,Rural,"Bodoland University, P.O - Rangalikhata, Balagaon Part - I, Debargaon, Kokrajhar"
U-0675,Cotton University,Assam,Kamrup Metro,www.cottonuniversity.ac.in,State Public University,1901,Urban,"PANBAZAR, GUWAHATI, GUWAHATI"
U-0676,Kumar Bhaskar Varma Sanskrit And Ancient Studies University,Assam,Nalbari,www.kbvsasun.ac.in,State Public University,2011,Rural,"VILL- NAMATI, P.O. HATI NAMATI, NALBARI"
U-0677,National Law University And Judicial Academy,Assam,Kamrup Metro,www.nluassam.ac.in,State Public University,2009,Rural,"Hajo Road, Amingaon, Guwahati"
U-0682,The Assam Kaziranga University,Assam,Jorhat,https://www.kzu.ac.in/,State Private University,2012,Rural,"KORAIKHOWA GAON, NH - 37, JORHAT - 785006, ASSAM, JORHAT"
U-0683,Assam Down Town University,Assam,Kamrup Metro,www.adtu.in,State Private University,2010,Rural,"Sankar Madhab Path, Gandhi Nagar, Panikhaiti, Guwahati"
U-0048,"Assam Agricultural University, Jorhat",Assam,Jorhat,www.aau.ac.in,State Public University,1968,Rural,"Borbheta, Jorhat, Near Police Reserve, Jorhat"
U-0049,"Assam Don Bosco University, Guwahati",Assam,Kamrup,www.dbuniversity.ac.in,State Private University,2008,Urban,"Assam Don Bosco University, Tapesia Gardens, Kamarkuchi, Sonapur, Guwahati"
U-0050,"Assam University, Silchar",Assam,Cachar,http://www.aus.ac.in,Central University,1994,Rural,"ASSAM UNIVERSITY, SILCHAR, Dargakona, Cachar, Assam, SILCHAR"
U-0051,"Dibrugarh University, Dibrugarh",Assam,Dibrugarh,dibru.ac.in,State Public University,1965,Urban,"Dibrugarh, Pin-786004, Dibrugarh"
U-0052,"Gauhati University, Guwahati",Assam,Kamrup,www.gauhati.ac.in,State Public University,1948,Urban,"Gopinath Bordoloi Nagar , Guwahati - 781014, Guwahati"
U-1041,Sandip University,Bihar,Madhubani,https://www.sandipuniversity.edu.in/sijoul,State Private University,2017,Rural,"Neelam Vidya Vihar, Village-Sijoul, PO-Mailam, Via-Ragnagar, Madhubani"
U-0999,"Purnea University, Purnia",Bihar,Purnia,https://purneauniversity.ac.in/,State Public University,2018,Urban,"Purnea University, Purnia, Near - Purnea College , Purnea"
U-0997,Bihar Animal Sciences University,Bihar,Patna,www.basu.org.in,State Public University,2016,Urban,"BIHAR VETERINARY COLLEGE CAMPUS, P.O.: BVC CAMPUS, PATNA, PATNA"
U-0835,"Mahatma Gandhi Central University, Motihari",Bihar,Purbi Champaran,www.mgcub.ac.in,Central University,2014,Urban,"Dr. Ambedkar Administrative Building, Near OP Thana, Raghunathpur, Motihari"
U-0066,"Jai Prakash Vishwavidyalaya, Chapra",Bihar,Saran,www.jpv.ac.in,State Public University,1992,Rural,"Rahul Sankrityayan Nagar, Near Parwati Ashram, Bara Tealpa Chapra, Chapra"
U-0067,"Kameshwar Singh Darbhanga Sanskrit Vishwavidyalaya, Darbhanga",Bihar,Darbhanga,http://www.ksdsu.edu.in/home.htm,State Public University,1960,Urban,"Kameshwar Nagar, Darbhanga"
U-0077,"Veer Kunwar Singh University, Arrah",Bihar,Bhojpur,www.vksu.ac.in,State Public University,1992,Urban,"Katira Road, Arrah, Ara"
U-0073,"Nava Nalanda Mahavihara, Nalanda",Bihar,Nalanda,www.nnm.ac.in,Deemed University-Government,1951,Rural,"P.O. - Nalanda, Distt. - Nalanda, Pin no. - 803111, Bihar, Nalanda"
U-0710,Nalanda University,Bihar,Nalanda,www.nalandauniv.edu.in,Central University,2010,Rural,"803116, Nalanda University , Rajgir"
U-0990,Al-Karim University,Bihar,Katihar,www.alkarimuniversity.edu.in,State Private University,2018,Urban,"Katihar-Purnea Road, Sirsa, Karim Bagh, Katihar"
U-0068,"Lalit Narayan Mithila University, Darbhanga",Bihar,Darbhanga,www.lnmu.ac.in,State Public University,1972,Urban,"Kameshwaranagar, Darbhanga, Bihar-846008, Darbhanga"
U-0069,"Magadh University, Bodh Gaya",Bihar,Gaya,www.magadhuniversity.ac.in,State Public University,1962,Urban,"Gaya Dobhi Road, Bodh Gaya, gaya"
U-0075,"Dr Rajendra Prasad Central Agricultural University, Samastipur",Bihar,Samastipur,www.rpcau.ac.in,Central University,1970,Rural,"Post Office-Pusa ,District-Samastipur,Pin-848125, State- Bihar (India), Samastipur"
U-0065,"Indira Gandhi Institute Of Medical Sciences, Patna",Bihar,Patna,www.igims.org,Institute under State Legislature Act,1984,Urban,"Director, Indira Gandhi Institute of Medical Sciences, Post Office, B. V. College, Sheikhpura, Patna - 800 014, Patna"
U-0975,Munger University,Bihar,Munger,www.mungeruniversity.ac.in,State Public University,2018,Urban,"Administrative Block, Shastrinagar, Munger"
U-0974,"Patliputra University, Patna",Bihar,Patna,ppup.ac.in,State Public University,2018,Urban,"Kankarbagh Main Road, Near Rajendra Nagar Terminal, Patna"
U-0686,"All India Institute Of Medical Sciences, Patna",Bihar,Patna,http://www.aiimspatna.edu.in,Institute of National Importance,2012,Rural,"PHULWARI SHARIF, Patna"
U-0937,Dr. C.V. Raman University,Bihar,Vaishali,www.cvrubihar.ac.in,State Private University,2018,Rural,"VILL-BAFAPUR BANTHU,, BLOCK- BHAGWANPUR, NH-22 (PATNA- MUZAFFARPUR HIGHWAY), BHAGWANPUR"
U-0070,"Maulana Mazharul Haque Arabic & Persian University, Patna",Bihar,Patna,https://mmhapu.ac.in,State Public University,1992,Urban,"Mithapur Farm Area, Patna, Patna"
U-0076,"T.M. Bhagalpur University, Bhagalpur",Bihar,Bhagalpur,www.tmbuniv.ac.in,State Public University,1960,Urban,"University Road, Sarai, Bhagalpur, T.M. Bhagalpur University, Bhagalpur-812 007, Bhagalpur"
U-0964,Amity University Patna,Bihar,Patna,https://amity.edu/Bihar/,State Private University,2017,Urban,"AMITY UNIVERSITY PATNA CAMPUS, BAILEY ROAD, RUPASPUR, Patna"
U-0071,"Nalanda Open University, Patna",Bihar,Nalanda,www.nou.ac.in,State Open University,1987,Rural,"3rd Floor, Biscomaun Bhawan, West of Gandhi Maidan, Patna"
U-1321,Bihar University Of Health Sciences,Bihar,Patna,http://buhs.ac.in/,State Public University,2022,-,"2nd Floor, Examination Block, Aryabhatta Knowledge University, near Old Bus Stand, Mithapur Farm Area, Mithapur, Patna, Bihar 800001"
U-0060,"Bihar Agricultural University, Sabour",Bihar,Bhagalpur,www.bausabour.ac.in,State Public University,2010,Rural,"63Q2+27X, Bhagalpur Rd, Agriculture University, Bhagalpur, Bihar 813210"
U-0072,"National Institute Of Technology, Patna",Bihar,Patna,www.nitp.ac.in,Institute of National Importance,2004,Urban,"Ashok Raj Path, Patna, Patna"
U-1125,Mata Gujri University,Bihar,Kishanganj,www.matagujriuniversity.com,State Private University,2018,Urban,"Purab Pali Road, Mata Gujri Memorial Medical College, Kishanganj"
U-1116,National Institute Of Pharmaceutical Education And Research Hajipur,Bihar,Vaishali,www.niperhajipur.ac.in,Institute of National Importance,2007,Urban,"EPIP Campus Industrial Area, Jandaha Road, Hajipur"
U-0059,"Bhupendra Narayan Mandal University, Madhepura",Bihar,Madhepura,www.bnmu.ac.in,State Public University,1992,Urban,"Singheshwar Road, N.H. 106, Madhepura, Madhepura"
U-0064,"Indian Institute Of Technology, Patna",Bihar,Patna,http://www.iitp.ac.in,Institute of National Importance,2008,Rural,"Kanpa Road, Bihta, Patna"
U-0953,Indian Institute Of Information Technology Bhagalpur,Bihar,Bhagalpur,www.iiitbh.ac.in,Institute of National Importance,2017,Rural,"Registrar, IIIT Bhagalpur, Bhagalpur College of Engineering Campus, Sabour, Bhagalpur"
U-0063,"Chanakya National Law University, Patna",Bihar,Patna,www.cnlu.ac.in,State Public University,2006,Urban,"Nyaya Nagar, Mithapur (South of Jakkanpur Police Station), Patna"
U-0062,Central University Of South Bihar,Bihar,Gaya,www.cusb.ac.in,Central University,2009,Rural,"NH 120, Gaya - Panchanpur Road, Post : Fatehpur, Gaya"
U-1066,Gopal Narayan Singh University,Bihar,Rohtas,www.gnsu.ac.in,State Private University,2018,Rural,"JAMUHAR,, SASARAM, SASARAM"
U-0919,K K University,Bihar,Nalanda,www.kkuniversity.ac.in,State Private University,2017,Rural,"AT BERAUTI PO NEPURA, PS DEEPNAGAR, BIHAR SHARIF"
U-0058,"Babasaheb Bhimrao Ambedkar Bihar University, Muzaffarpur",Bihar,Muzaffarpur,brabu.net,State Public University,1952,Urban,"MUZAFFARPUR, MUZAFFARPUR, MUZAFFARPUR"
U-0057,"Aryabhatta Knoweledge University , Patna",Bihar,Patna,www.akubihar.ac.in,State Public University,2010,Urban,"Mithapur, Gyan Parisar, Patna-800 001"
U-0074,"Patna University, Patna",Bihar,Patna,pup.ac.in,State Public University,1917,Urban,"Ashok Raj Path, Patna"
U-1006,Indian Institute Of Management Bodh Gaya,Bihar,Gaya,www.iimbg.ac.in,Institute of National Importance,2015,Rural,"Uruvela, Prabandh Vihar, Bodh Gaya, Gaya"
U-1332,National Institute Of Technical Teacher Training & Research Chandigarh,Chandigarh,Chandigarh,https://www.nitttrchd.ac.in/,Deemed University-Government,1967,-,"Sector 26, Chandigarh, 160019"
U-0080,"Punjab Engineering College , Chandigarh",Chandigarh,Chandigarh,https://www.pec.ac.in,Deemed University-Government,1921,Urban,"Punjab Engineering College, Sector -12, Chandigarh"
U-0078,"Panjab University,Chandigarh",Chandigarh,Chandigarh,www.puchd.ac.in,State Public University,1882,Urban,"Panjab University, Sector 14, Chandigarh"
U-1264,Anjaneya University,Chhattisgarh,Raipur,https://anjaneyauniversity.ac.in/,State Private University,2022,-,"Anjaneya University Main Campus, Nardaha, Chhattisgarh 492101"
U-0079,Post Graduate Institute Of Medical Sciences,Chandigarh,Chandigarh,pgimer.edu.in,Institute of National Importance,1962,Urban,"Sector 12, PGIMER, Chandigarh"
U-0086,"Hidayatullah National Law University, Raipur",Chhattisgarh,Raipur,www.hnlu.ac.in,State Public University,2003,Rural,"Post - Uparwara, Nava Raipur Atal Nagar- 492 002 (Chhattisgarh), Raipur"
